Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,0.0,0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.02261857315348091,0.10435590893030167,0.0,0.0,0.0,0.0,0.0,0.022666001622245826,0.10436730086803436,0.016993761814198226,7.852613634895533e-06,0.008750422841379224,0.05050111934542656,0.00012219864584039897,0.0061700353398919106,-1.5423036529682577e-05,0.0004546083663108182,0.00019197684014216065,0.04605980962514877,0.046307794749736786,0.013223765770484322,0.016324467311723864,0.014138435944914818,0.013891587033867836,0.04657108780687363,0.04976116937699318,0.0018658423626858674,0.0016997177119084858,0.0018760249236691442,0.0015331814084131694,0.00023570397752337158,0.0005302581121213734,0.10402452644483902,0.10713615269099151,0.02037681503709545,0.02188506584843666,0.009613019414246082,0.009599711745977402,0.046263145292049446,0.035115852456968306,0.03510183807742442,-3.515082789817825e-05,0.013673189096152782,0.018281452357769012,0.0004563818802125752,0.0030948608182370663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2572935223579407,0.09647928178310394,0.47327011823654175,0.11083416640758514,1.9691766500473022,0.7853068709373474,1.2501351833343506
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.04394799135196556,0.20712058246135712,0.0,0.0,0.0,0.0,0.0,0.044016429928523865,0.20713774859905243,0.0264572932933667,2.3518414309364744e-05,0.015078955348404064,0.07867243140935898,0.00023162760771811008,0.01544597465544939,2.426056562399026e-05,0.0006892815680906398,0.00032361637568101287,0.07927196472883224,0.07888665050268173,0.01310607680990792,0.01620436358645649,0.02619047835469246,0.025844156742095947,0.07234059421589661,0.07675165679485489,0.0019728379858642313,0.003127126487808695,0.0019423035608927145,0.002394074712603166,0.0006749717285856605,0.0012167214881628752,0.16128942186999115,0.16596659423193544,0.034770119404499436,0.03724096854733818,0.020862339064478874,0.020820800215005875,0.05810180307634766,0.034966224806062075,0.034946480033734205,-5.081236668047495e-05,0.026134487241506577,0.0348786897957325,0.0003370315534994006,0.004175818525254726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49780362844467163,0.1815655529499054,0.9776709675788879,0.21277153491973877,3.8860220909118652,1.6047499179840088,2.518386125564575
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.06527441128963196,0.30642810463905334,0.0,0.0,0.0,0.0,0.0,0.06535710539731919,0.3064309060573578,0.02837529771493664,5.424289338407107e-05,0.01958697978827236,0.0784805491566658,0.0007249333430081606,0.02546229586005211,5.158073327038437e-05,0.0009428914208610261,0.0004593302437569946,0.10109768062829971,0.09979172796010971,0.013015517734629042,0.015998210111591134,0.03313962742686272,0.03276892751455307,0.08546847850541535,0.09183583114010543,0.0021055120452645364,0.0046254628707269,0.0020937737065435513,0.0037838614846356917,0.0012880060821771622,0.0020507583394646645,0.16182160709887483,0.16900056376579772,0.03768952956372253,0.040058977216111756,0.03434651717543602,0.0342690572142601,0.07096655819333725,0.035087993831770276,0.03506110809913185,-7.64213182264939e-05,0.037435729056596756,0.05018001049757004,0.00030986295314505696,0.0044182403944432735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6779999136924744,0.26411518454551697,1.4900745153427124,0.30753782391548157,5.589416980743408,2.5648086071014404,3.885922431945801
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.08697263647597138,0.4038304388523102,0.0,0.0,0.0,0.0,0.0,0.08708177710296722,0.4038342833518982,0.029066182458170164,6.960678001632914e-05,0.02107531259421005,0.07235702127218246,0.005323600955307484,0.026293333619832993,3.296288923593238e-05,0.0011844580057888006,0.0004543826507870108,0.12135446071624756,0.11864334344863892,0.013024814701987348,0.015898757136423535,0.03718983754515648,0.03694726899266243,0.09871935917183289,0.10791378315675461,0.0025700263786725703,0.0060306350210811805,0.0023010057234352267,0.005112319127212067,0.0017692424589768052,0.0026769237592816353,0.1392974950472412,0.1488793261334128,0.030906990356581152,0.032696553824944304,0.04943927004933357,0.04933195561170578,0.08412273077697921,0.034306207903945896,0.034274248184283415,-0.00011788725532824174,0.0483175553381443,0.06543736904859543,0.000321037630783394,0.005258192308247089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.830795407295227,0.33969560265541077,2.0437920093536377,0.4054698944091797,7.413775444030762,3.583103656768799,5.177912712097168
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.10752494151726867,0.5018891096115112,0.0,0.0,0.0,0.0,0.0,0.1076666726428865,0.5018980503082275,0.03129148364066784,6.262652459554374e-05,0.021317184164626198,0.07116244733333588,0.01654224470257759,0.02299393340945244,0.000292157637886703,0.001335738542621057,0.0005221226601861417,0.14346006512641907,0.1394326388835907,0.0130661994279943,0.015813820887384745,0.04089263826608658,0.040654007345438004,0.11430322230923859,0.1259985447257831,0.0037197357192186213,0.007879721407707615,0.0026103239817404987,0.006426832729538765,0.001996130682528019,0.003035888308659196,0.1296466656411798,0.14162543117266022,0.024796788657817537,0.026203044920085756,0.06658239662647247,0.06646635383367538,0.09733007549279235,0.034317725003782905,0.03428981523222639,-0.00018925339099951088,0.05998317897319794,0.08158710598945618,0.0005929420585744083,0.006679555866867304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9615511298179626,0.43406468629837036,2.6037046909332275,0.5092347860336304,9.067193984985352,4.657439708709717,6.542201519012451
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.10610430675403473,0.5003232955932617,0.0,0.0,0.0,0.0,0.0,0.10624745691499282,0.5003499388694763,0.028370084402629586,7.334091060329229e-05,0.018260244863231925,0.06151057407259941,0.02416153997182846,0.017312079668045044,0.0004506368422880769,0.001244042970031762,0.0004994574119336903,0.13707973062992096,0.13348492980003357,0.013127253651463819,0.015761166777949573,0.03747888654470444,0.03719444200396538,0.10951352196832642,0.12121189530814636,0.005642528532336378,0.008503513751998882,0.0028059889892454205,0.006132274163150006,0.0018647838796372127,0.002895909361541271,0.10838378331769608,0.12034490330413117,0.015445433654516259,0.016548942614332658,0.07088853418827057,0.07073544710874557,0.09780568780813569,0.03436932765300909,0.0343427930010767,-0.00022675961372442544,0.05940984562039375,0.08080103248357773,0.0009021283476613462,0.007137015461921692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.940534234046936,0.4414825439453125,2.6553399562835693,0.5197766423225403,8.834260940551758,4.7487640380859375,6.609661102294922
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.1046738872302719,0.49906644225120544,0.0,0.0,0.0,0.0,0.0,0.10482057945132996,0.4991200566291809,0.026607969316341896,6.794840010115877e-05,0.01586509922186823,0.056387513875961304,0.029279984533786774,0.01073034480214119,0.0006374557269737124,0.0011224402710606934,0.000557283463422209,0.13561898469924927,0.13220883905887604,0.012953868243393524,0.015611360588782305,0.035585884004831314,0.03531807288527489,0.10509722683375,0.11636922957192536,0.008721687607883187,0.009242807692388878,0.0029877543813734762,0.0055909569460671805,0.0016834018720135737,0.002707962179556489,0.09651273112961609,0.10830236005732147,0.009496060455024434,0.010373496835345726,0.07595780491828918,0.07577525824308395,0.0977655127803862,0.0339960279326002,0.03397290263690208,-0.00023339956533163786,0.058646611869335175,0.08002350479364395,0.0008616168634034693,0.0066068656742572784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9380045533180237,0.4660099744796753,2.6909351348876953,0.5211212635040283,8.55189037322998,4.817298889160156,6.751491546630859
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.10375243037595704,0.49931496381759644,0.0,0.0,0.0,0.0,0.0,0.10390090374151505,0.4993618130683899,0.025450782328396187,5.475714715430513e-05,0.013848259082439956,0.05330190062522888,0.03266483172774315,0.006381867453455925,0.0016279186820611358,0.0011419147485867143,0.0005438766092993319,0.13822931051254272,0.13440896570682526,0.012983198517545534,0.015608760011805216,0.03429943323135376,0.03413097932934761,0.10072169454338317,0.11174786088606964,0.011572944592680226,0.010069187377371579,0.003199408123167484,0.005137269038272686,0.0014675326464544773,0.002467731013894081,0.08977407288186218,0.10118362381890884,0.005947677352247792,0.006599295478141708,0.08047427237033844,0.0803200975060463,0.09720904600814004,0.033835512680205904,0.0338167295979409,-0.00020045667770318687,0.058107100427150726,0.07950098067522049,0.0006769682513549924,0.005999842192977667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.910807728767395,0.47350937128067017,2.7218875885009766,0.5287908315658569,8.528390884399414,4.855891227722168,6.727381706237793
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.10317713393000763,0.5006003975868225,0.0,0.0,0.0,0.0,0.0,0.1033273817835492,0.5006324052810669,0.024308935823046034,3.903679680661298e-05,0.01201875934511654,0.05147431418299675,0.034337159246206284,0.003956897649914026,0.002669194946065545,0.001147332601249218,0.0006797274691052735,0.1436651647090912,0.13871067762374878,0.013023281997911446,0.01570778930662927,0.0338159054517746,0.0338253416121006,0.09618163255885971,0.10761296898210754,0.014340402392438927,0.011006272286841067,0.0035278549387380005,0.004744569467530107,0.001380622019203937,0.002312480704858899,0.08576899322281113,0.09687753728686524,0.0036649847236095525,0.004070759401205816,0.0844249352812767,0.0843266099691391,0.0957329779771994,0.03357961677835455,0.03356764355272354,-0.00016199200763367116,0.05763239786028862,0.07915019243955612,0.0005274759023450315,0.0050448947586119175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9053155183792114,0.48521292209625244,2.7620036602020264,0.5248258113861084,8.554706573486328,4.838988780975342,6.7043657302856445
