Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,0.0,0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.006625629955992127,0.002732632914558053,0.0,0.0,0.0,0.0,0.0,0.006629138183460751,0.0027212954591959715,0.004001490359193415,0.0,0.0031199455098004916,0.0005835531046614051,0.00029566435841843486,3.794752774410881e-05,0.002045151311904192,0.0009039067816438509,0.00019316667749080807,0.025926638394594193,0.02162925712764263,0.013229293743855822,0.016338342676296733,0.0010582358809188008,0.0011365051614120603,0.016276323951237508,0.019576554439240695,0.008116267466330242,0.0015237375593462252,0.00783320346415331,0.0023931213673133826,0.0009061539312824607,0.0009710046579129994,0.011587340166436214,0.013273933443024511,0.0012571966929747702,0.0005676924256472734,7.32748958398588e-05,8.47617702675052e-05,0.1409465968700705,0.06362256075927059,0.06368477085419591,0.00088106794282794,0.01648607850074768,0.017179660499095917,0.0034940100740641356,0.0035048057325184345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2122773379087448,0.2768166661262512,0.49220532178878784,0.13058164715766907,1.248705506324768,1.8404452800750732,0.7578333616256714
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.013261621254864827,0.020044347271323204,0.0,0.0,0.0,0.0,0.0,0.013251712319833603,0.020026225596666336,0.007347440681348114,0.0,0.004170118383886232,0.0012807442108169198,0.0006561690242961049,0.00012357400555629283,0.0038939923979341984,0.0015647913486894441,0.000365051266271621,0.04932229593396187,0.04090162366628647,0.013085357043582137,0.016231077792116518,0.002176655223593116,0.002365583088248968,0.0231781886728673,0.027002486364850295,0.01410565093208416,0.0027422360134296323,0.013524869851491775,0.004438023337817564,0.0018475301330909133,0.001981758512556553,0.017897599405227033,0.019587835868509693,0.001867107399818504,0.0007473424443002123,7.812031981302425e-05,8.908158633857965e-05,0.23711839319475586,0.08617721725176566,0.08630994852404236,0.0016921174246817827,0.03157968819141388,0.03333338350057602,0.00602135993540287,0.0059866816736757755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41551119089126587,0.5184879899024963,1.039480209350586,0.2551725506782532,2.5953147411346436,3.561896562576294,1.5315124988555908
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.0214096507417556,0.048528000712394714,0.0,0.0,0.0,0.0,0.0,0.021389791332816467,0.04850403219461441,0.010625275713372136,0.0,0.005136307007177453,0.0020433433819562197,0.0009700822411105037,0.00034246407449245453,0.005482488311827183,0.0022996830675464774,0.00048449868336319923,0.07150061428546906,0.05900358781218529,0.012918618462890094,0.016058059679651734,0.0034008785150945187,0.003639292437583208,0.030731551353735353,0.03520438153011055,0.020088133198615455,0.004000944029221849,0.018900765331887934,0.006352560205642204,0.0027226810343563557,0.002944363048300147,0.023600644961890946,0.02519609368864071,0.0023440157244478893,0.0008458366191268698,5.87934409850277e-05,7.933733286336064e-05,0.32689403895057373,0.10535263421239868,0.10555143355096039,0.0024895358365029097,0.046305518597364426,0.04939265549182892,0.006979118101298809,0.006963290274143219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6104356646537781,0.7421709299087524,1.6139814853668213,0.3744237422943115,4.017482280731201,5.2075700759887695,2.3211655616760254
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.03109777656178776,0.0843309611082077,0.0,0.0,0.0,0.0,0.0,0.031071853063722572,0.08429624140262604,0.01396029700464796,0.0,0.0059800172096838005,0.002684792736545205,0.001198392128571868,0.00028197618667036295,0.006191530264914036,0.002946017286355672,0.0005739238113164902,0.09285025298595428,0.07648663222789764,0.012889086337475314,0.015980933351497095,0.00477027241140604,0.005058048292994499,0.03902258610471615,0.04436271298814022,0.026364482589125632,0.005305404353341074,0.02392472235487381,0.008091815155486364,0.00353762274608016,0.003871538210660219,0.028310036669164658,0.0299241833373732,0.0027124548329281236,0.0009341225074696124,4.9979389586951584e-05,9.168827818939462e-05,0.41132365761728457,0.12119094435119171,0.12145491242326904,0.0032845917157828808,0.061204589903354645,0.06605398654937744,0.006504479795694351,0.006612447090446949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7929632067680359,0.9414573907852173,2.225803852081299,0.491849809885025,5.548737525939941,6.749207496643066,3.1181647777557373
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.0422131520046344,0.12502580881118774,0.0,0.0,0.0,0.0,0.0,0.04219525071567284,0.1249944195151329,0.017031428143379136,0.0,0.006786856062216358,0.0031645456328988075,0.0013376394053921103,0.00016708311159163713,0.0070130955427885056,0.0037722240333827543,0.0006501510506495833,0.11329781264066696,0.09312637150287628,0.012871553311965593,0.01592669599744705,0.006124111823737621,0.0064053707756102085,0.04767797366846291,0.05396936390102646,0.03280163143384434,0.0066330073745211795,0.028707734107398415,0.00959644661988863,0.00428694486618042,0.004743111319839954,0.0322879899675758,0.03397343195240818,0.002942815500113659,0.0009558316785579661,3.169797491864301e-05,9.142055932898074e-05,0.49043921827309633,0.13430339399972444,0.13462876531605028,0.004069100134074688,0.07591429352760315,0.08278808742761612,0.005514230579137802,0.005770581774413586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9952528476715088,1.128662109375,2.949946165084839,0.6090667843818665,6.978430271148682,8.194753646850586,3.9879612922668457
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.045680932578009335,0.14295443892478943,0.0,0.0,0.0,0.0,0.0,0.04567066783389618,0.14293096959590912,0.01682764866716549,3.4470856462576194e-06,0.006481059944381266,0.0031102278735488653,0.0013126495759934187,0.00014679368177894503,0.006188707891851664,0.0036865395659359933,0.000649553257972002,0.11075609177350998,0.09099307656288147,0.012897109979393848,0.015898353125223683,0.0063332002609968185,0.006586844101548195,0.04900921958585724,0.055727557799467926,0.03292595537219467,0.006696020128652792,0.028026531611509895,0.009289257456742936,0.004118645977496596,0.004567679949104786,0.030547150589119415,0.03228225929930939,0.0026835179698385977,0.0007884092482131678,1.9737704860744998e-05,7.536068733315915e-05,0.476843410753349,0.12669144865488008,0.12700741290881348,0.003906429745256901,0.07493941485881805,0.08250288665294647,0.0035749038215726614,0.0037848406936973333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.006291151046753,1.1134647130966187,3.0540060997009277,0.6032232642173767,6.975871562957764,8.044763565063477,4.051175117492676
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.04877048600446663,0.16091987490653992,0.0,0.0,0.0,0.0,0.0,0.04876707510352875,0.16089366376399994,0.016597279819347877,1.6279816918540746e-05,0.006283399720145178,0.003103340044617653,0.0012622347567230463,1.669105222390499e-05,0.005641445983201265,0.003563095991480875,0.0006226584082469344,0.10798154026269913,0.08874500542879105,0.012800571054221516,0.01570852867441329,0.006528106983751059,0.006783553399145603,0.05008181933109879,0.05728424044142837,0.03295966494870064,0.00676787382970272,0.02728382442297409,0.009007677723817196,0.003895461090450053,0.004359185695648193,0.028582455555289574,0.03057687322744457,0.002428790692977798,0.0007275231675159047,1.9256696759839542e-05,7.679835107410327e-05,0.4632464498440802,0.119798856938443,0.1201084270729332,0.003769269911572337,0.07346341013908386,0.08185748755931854,0.0017813567537814379,0.0019251687917858362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9815578460693359,1.0667163133621216,3.1152191162109375,0.596879243850708,7.226048946380615,7.803072452545166,4.0600762367248535
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.05175648614420845,0.18037749826908112,0.0,0.0,0.0,0.0,0.0,0.051768263707554704,0.18036594986915588,0.01634009130254303,4.349134906078689e-05,0.005997529687735853,0.0030979595612734556,0.0012560823233798146,-8.43578964122571e-05,0.005619144532829523,0.003735444275662303,0.0005698230816051364,0.10539006441831589,0.08658786118030548,0.012829142562409688,0.01568451155994343,0.006680774502456188,0.006899107713252306,0.05114956201555496,0.05863690001508842,0.03305481154098679,0.006887916122355251,0.02657785959438446,0.008649102065277883,0.003733143611423278,0.004201520700007677,0.026905539225861093,0.029001534728561554,0.0021603758714776804,0.0006612824311981839,1.122973844758235e-05,6.618097540922463e-05,0.45139280554845945,0.11399392934585983,0.11429709199755311,0.0036297040060162544,0.0718269944190979,0.08093861490488052,0.0010150287998840213,0.0012241650838404894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.960472583770752,1.0104025602340698,3.1948459148406982,0.5885049104690552,7.465459823608398,7.531671047210693,4.105011463165283
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.05444431303171318,0.20306521654129028,0.0,0.0,0.0,0.0,0.0,0.0544585505364579,0.2030591517686844,0.016107061030470198,6.229490099940449e-05,0.005657093442457242,0.0031061701010912657,0.0012616851599887013,-0.0001919252099469304,0.005698388908058405,0.0037104012444615364,0.0005646386998705566,0.10251892358064651,0.08438680320978165,0.012930377426991518,0.015747308677686665,0.0068434481509029865,0.007053743582218885,0.0519522517724408,0.05981789678419342,0.033221140337876355,0.007005583383807335,0.026068263707429123,0.008480024220571375,0.0035864806083539488,0.004073159769177437,0.024936904409625434,0.027143440759765627,0.0018943987154035427,0.0006309945179093685,1.938127024914138e-05,6.300404493231326e-05,0.44053519367258054,0.1086035296030449,0.10889873207930542,0.003510928712785244,0.0697270855307579,0.0796293318271637,0.0006954364362172782,0.0009365786681883037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9442724585533142,0.9792109131813049,3.231326103210449,0.578529953956604,7.617159843444824,7.366293907165527,4.143911361694336
