Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,-0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,-0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,0.0,0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.0014364667240027579,-4.687128966907039e-05,0.0,0.0,0.0,0.0,0.0,0.0014116595910754455,-0.00012377745588310063,0.0016891562212246968,2.0028457583975978e-05,0.002983203490705965,0.00013700085401069373,6.993300485191867e-05,5.910741674597375e-05,0.009186144918203354,0.000830300051205082,9.565979416947812e-05,0.03205255791544914,0.027954965829849243,0.013215665976198368,0.016303248177043414,0.0005250892718322575,0.0005510678747668862,0.010668988053871224,0.013864777783724108,0.005700609491550636,0.0005906332482301855,0.013918807893398305,0.006658594242290077,0.002402137964963913,0.0023646114859730005,0.008240560084225315,0.009772887226909156,0.003731151852050328,0.002404023681264825,3.645299148047343e-05,5.947712270426564e-05,0.07976752147997002,0.042127945867562695,0.04216068099998529,0.0009976770961657166,0.011136339046061039,0.010813737288117409,0.016373286023736,0.014522356912493706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3720574676990509,0.22557051479816437,0.4012388288974762,0.13698747754096985,1.2931456565856934,1.8169578313827515,0.7644715309143066
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.0013278951418080622,-8.71676456881687e-05,0.0,0.0,0.0,0.0,0.0,0.0012682091251913497,-0.00022889638785272837,0.00273868777688828,4.973485920345411e-05,0.003913449374781861,0.00032719766022637486,0.0001250993082066998,0.00011461185204098001,0.01755419559776783,0.0013880681171279622,0.0001877454633358866,0.061637382954359055,0.05361064523458481,0.013074476334640296,0.01616616010507543,0.001013543107546866,0.0010877083986997604,0.010487397190994278,0.013933618051865588,0.00936845071662529,0.0008403382952310348,0.024894852585814323,0.012364753311223164,0.0047737788408994675,0.004713163711130619,0.011378332069692937,0.01272333563646881,0.006396374134426021,0.004201116269031101,0.0009243685053661466,0.0009712786413729191,0.11810223759420807,0.04585687950174803,0.04592717677126764,0.0021269263233989477,0.02131529524922371,0.020998291671276093,0.02973538264632225,0.02658810280263424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.727120041847229,0.4323708415031433,0.8322591781616211,0.2686084508895874,2.6812634468078613,3.53462290763855,1.5351841449737549
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.0012474145634617758,-5.040671021561138e-05,0.0,0.0,0.0,0.0,0.0,0.001159041739932955,-0.00024957043933682144,0.003630408016014004,9.746025898493826e-05,0.004693151595546584,0.00043193239253014326,0.00015515419363509864,0.00014570793427992612,0.02467268891632557,0.001987605953187933,0.0002793808525893837,0.0893235132098198,0.07765939086675644,0.012897131108501866,0.01598193142972198,0.001466487068682909,0.0016058648470789194,0.010177538327322776,0.013843918329275041,0.012922618334587955,0.0010276429258832503,0.03515918202927086,0.017757203040901642,0.00713359983637929,0.007061108946800232,0.01432215195983387,0.0154611920890547,0.008573657106099052,0.005692652206497526,0.005304919555783272,0.005383975803852081,0.150665038859021,0.04756357392522112,0.04766563213134464,0.003291188972070813,0.03099229745566845,0.03096073493361473,0.040671758353710175,0.03661511093378067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0612316131591797,0.633073627948761,1.262267827987671,0.3973115384578705,4.104538917541504,5.2483296394348145,2.301969051361084
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.001157202539312128,0.00045267422683537006,0.0,0.0,0.0,0.0,0.0,0.0010443860338548785,0.00019481158233247697,0.0045225492393155,0.00014296441804617643,0.005345473611985589,0.0004366648499853909,0.00015599277685396373,1.9666165826492943e-05,0.03081664815545082,0.00238690802323359,0.00041191172203980386,0.11536793410778046,0.10028477758169174,0.012844786734115482,0.015893121397934317,0.0018665895331650972,0.0021139783784747124,0.00963591065376529,0.013561862402775252,0.016522009506881236,0.0012109575769062948,0.04515646679328361,0.02303974224675705,0.009539470076560974,0.00945453904569149,0.016326124231010437,0.017486390842480125,0.010247212089435997,0.006836752726239967,0.012905406765639782,0.0130337905138731,0.17750083504648376,0.04648330029093761,0.04661091249354292,0.004598583094775677,0.04012688249349594,0.04072131961584091,0.04966471344232559,0.045039720833301544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3722057342529297,0.8356005549430847,1.6513588428497314,0.5260735750198364,5.59665584564209,6.965371131896973,3.0515213012695312
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.0012634153701322121,0.015899358317255974,0.0,0.0,0.0,0.0,0.0,0.0011347292736953653,0.01559818908572197,0.005410182029005928,0.00019476823217701167,0.00590043371307631,0.0005117300315760076,0.00013559256331063807,-0.000154244335135445,0.03608977049589157,0.002791187692564945,0.0005868229200132191,0.13916289806365967,0.12108022719621658,0.012804451000119892,0.015819207060527796,0.002382886130362749,0.0026829924900084734,0.009377707993983601,0.013613435396885414,0.020223846254825362,0.0014512036572432352,0.054546315952562714,0.028111026713212816,0.01174730435013771,0.011681846342980862,0.018178220131507647,0.01970121990155302,0.01128414932898014,0.007476762167035427,0.026045944541692734,0.026213543489575386,0.19849855898850463,0.04369310684749369,0.043841127337258076,0.005768672097474337,0.04870431870222092,0.05029301345348358,0.056280311197042465,0.05132433399558067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.678108811378479,1.0322037935256958,2.0832712650299072,0.649539053440094,7.009993076324463,8.713715553283691,3.825314998626709
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.0015195652896843564,0.038586147129535675,0.0,0.0,0.0,0.0,0.0,0.0014021539206298186,0.03832545876502991,0.005482637485036106,0.00021098568686284125,0.00556466367666915,0.0006016174447722733,0.00010084066889248788,-0.00023461047385353595,0.03326939046382904,0.002649215252861643,0.00066720275208354,0.13369134068489075,0.11630000174045563,0.012802034011246563,0.015813894827872307,0.0025617608334869146,0.0028440463356673717,0.009350284078097787,0.013753034767500234,0.02030751610014858,0.0015456622852760959,0.05265737806720314,0.027311960463606528,0.011507860332995147,0.011455390602350235,0.017366860240291576,0.019262044674606457,0.009779863157003441,0.006367070440188865,0.036901503801345825,0.037045884877443314,0.18419253232393618,0.03927736325552061,0.03941458063035321,0.005716928280889988,0.047366127371788025,0.049701303243637085,0.05043504759669304,0.046267811208963394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6416893005371094,1.0431158542633057,2.160127878189087,0.6410462856292725,6.9275383949279785,8.70220947265625,3.870671272277832
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.002101104799474096,0.061545830219984055,0.0,0.0,0.0,0.0,0.0,0.001995022453188846,0.06131485849618912,0.005656307569392938,0.00023382119252346456,0.005269415747774554,0.00068553356686607,9.101901378016919e-05,-0.0002895003999583423,0.0302153080701828,0.002514669614825177,0.0007161751273088157,0.1280868649482727,0.11168800294399261,0.012674969764966088,0.01563927760868876,0.0027218610048294067,0.0030063698068261147,0.009103113296732745,0.013643896619820845,0.020566119589327546,0.0016806257800263023,0.050985194185394746,0.026525923338882294,0.01127654104175127,0.011259147897362709,0.016365608165353127,0.018745156593111437,0.008267414545446826,0.005254507449681263,0.04752355068922043,0.04764946922659874,0.16996338965101837,0.034888223372119324,0.03501370846113402,0.005754436366260052,0.04629036784172058,0.0495138019323349,0.04369682818651199,0.04031451791524887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5727102756500244,1.0221271514892578,2.209805965423584,0.6330105066299438,7.088768482208252,8.6082124710083,3.8438401222229004
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.004830674115860004,0.0853453055024147,0.0,0.0,0.0,0.0,0.0,0.004745385515189533,0.08513913303613663,0.0056754531706861115,0.00025895939324982464,0.004788406161967335,0.0006876364350318909,9.403977310284972e-05,-0.00036685410304926336,0.02775781787931919,0.0025681392289698124,0.0007226684829220176,0.12276387214660645,0.10735917091369629,0.01267419373449724,0.015624924199205352,0.0029393096920102835,0.003196699544787407,0.009062005745138137,0.013627709769324096,0.020923718471075783,0.0018733537250913072,0.048823829217711716,0.025234372939480134,0.010964626148886585,0.010968642309308052,0.015302129801436921,0.01800563540146223,0.006728378989515858,0.00409104401600997,0.0581398569047451,0.058268602937459946,0.15685655024841447,0.03380541248318303,0.033922426366455365,0.005636134184896946,0.045527923852205276,0.04967648535966873,0.03779962658882141,0.0348946638405323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5191333293914795,0.9725333452224731,2.241826295852661,0.6197054982185364,7.395537376403809,8.445261001586914,3.7895824909210205
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.009667198156098537,0.11106187850236893,0.0,0.0,0.0,0.0,0.0,0.009599714898888473,0.11087846010923386,0.005924303168557949,0.0002831099845934659,0.004355334752651377,0.0007073262240737677,0.0001722601446090266,-0.00042706195381470025,0.02507392130792141,0.0025083774235099554,0.0007298532291315496,0.11724397540092468,0.10267994552850723,0.012762817449137848,0.015699554326869834,0.0030881466809660196,0.0033351110760122538,0.00888242795276252,0.01352349666497072,0.02121261304407505,0.002073679706746135,0.04636267295268173,0.023780921636298753,0.010598348202327823,0.010636894963681698,0.014291760721900368,0.017126123971330644,0.005309441482704744,0.0031041601901090525,0.06876114010810852,0.06888650357723236,0.14525075851957306,0.033378680585940755,0.0334839306153841,0.0055464827455580235,0.0444444939494133,0.049600955098867416,0.03165445849299431,0.029427453875541687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4620139598846436,0.9400750398635864,2.1936237812042236,0.6078065633773804,7.727910995483398,8.313783645629883,3.7350893020629883
00:00:00:09.166,68,0.0,0.0,0.0,0.0,0.0,0.014571602862512913,0.13881522417068481,0.0,0.0,0.0,0.0,0.0,0.01452289211014328,0.13865602016448975,0.006148608980418434,0.0002979154814966023,0.004113734199246199,0.0007285252213478088,0.00023633155797142535,-0.0004784292250405997,0.022920560091733932,0.002362150000408292,0.0007056602626107633,0.11129886656999588,0.09759875386953354,0.013036748171105223,0.015942849419505186,0.0032274576369673014,0.0034575173631310463,0.008892198943153072,0.01376687880685425,0.021480051450503426,0.0022535338669659425,0.043935759353486634,0.022269280340302847,0.010245256139218999,0.010311839170753956,0.013090761727626648,0.016307789306486378,0.003994564608515883,0.0022082849459360288,0.07875118404626846,0.07886755466461182,0.13556636419724868,0.03301215321498308,0.03310394921535145,0.005502394400537014,0.04301469027996063,0.049261726438999176,0.025120720267295837,0.023620564490556717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4215753078460693,0.912161111831665,2.240785837173462,0.5992707014083862,7.911527156829834,8.08929443359375,3.809485912322998
00:00:00:10.183,68,0.0,0.0,0.0,0.0,0.0,0.019065278458792724,0.16896983981132507,0.0,0.0,0.0,0.0,0.0,0.01903955002642933,0.1688421219587326,0.0062755257171960835,0.00031841840245760977,0.003918336250767012,0.0006389537593349814,0.0002970150380861014,-0.0004603666311595589,0.02087947353720665,0.002400584053248167,0.000695795111823827,0.10508512705564499,0.09253347665071487,0.013235256115103448,0.016141385663158706,0.0031951835844665766,0.003439228516072035,0.00930832193428805,0.015006512337955694,0.02152206134725113,0.0023637117261564445,0.04157625083649231,0.020932414716981925,0.009895890642335358,0.01002991280366085,0.011860843963695241,0.015380669720187035,0.003010332640796733,0.0015713972403538585,0.08858175575733185,0.08870025724172592,0.1274749815431479,0.03258396650184747,0.03266814835875675,0.005441201850771904,0.041676491498947144,0.04878397285938263,0.019277025014162064,0.01858908124268055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4024766683578491,0.8763875365257263,2.398167133331299,0.5856549143791199,7.920574188232422,7.7588114738464355,4.0384416580200195
00:00:00:12.200,68,0.0,0.0,0.0,0.0,0.0,0.0236326662630085,0.1965777426958084,0.0,0.0,0.0,0.0,0.0,0.023627887136761627,0.19645467400550842,0.00649371699419919,0.00031925455550663173,0.0039791209547253015,0.0006135490839369595,0.0003627649275586009,-0.000515089079272002,0.01858621835708618,0.002282229019328952,0.0006590348202735186,0.09866330027580261,0.0870114415884018,0.013590300423160362,0.016509450044906126,0.0033578514121472836,0.003600760130211711,0.010455109158006973,0.017286667325568474,0.02175731413406357,0.0024438341605959894,0.03971736763528053,0.020013839536704787,0.009666526406755256,0.009894628707983322,0.010944092076864281,0.01442163459345724,0.002349118763270135,0.001201338511074419,0.09735430777072906,0.09748134762048721,0.12139113695309037,0.032428299487804776,0.03250946442917659,0.0054893577471375465,0.040039900690317154,0.048185478895902634,0.012511474080383778,0.013172976672649384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3677985668182373,0.8677024245262146,2.528742551803589,0.574288547039032,7.837583065032959,7.602706432342529,4.166534900665283
