Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,0.0,0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.004703615320935869,0.057546466588974,0.0,0.0,0.0,0.0,0.0,0.004739807382838049,0.05756836384534836,0.0030402371725055887,9.122868505073711e-05,0.004518729152599154,0.001285158796235919,0.0006856175023131073,0.00028891002875752747,0.009201133623719215,0.00046374001325875344,0.00022592073946725577,0.021072501316666603,0.020200423896312714,0.013280889672054189,0.016296234139351426,0.0024248608388006687,0.0023146201856434345,0.014189739960633822,0.01898827056514621,0.005852764782839727,0.0017187026061767005,0.008484834968450566,0.003640363576814947,0.0029794741421937943,0.003125228453427553,0.006201290074379821,0.00906683179248845,0.0009695479369177462,0.0008812525984463167,0.00040020450251176953,0.00038995614158920944,0.050388470301276245,0.035785811778353556,0.03577706929576243,0.002909261267632246,0.006260501686483622,0.008354817517101765,0.0007403525523841381,0.002373441820964217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15138204395771027,0.10503260046243668,0.6160892844200134,0.10071168839931488,1.3010632991790771,1.00935697555542,1.6805661916732788
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.007777602780047551,0.11554154008626938,0.0,0.0,0.0,0.0,0.0,0.007835579810125198,0.11559025943279266,0.0055302934338548465,0.00018122706387657672,0.007033480815412416,0.002552733290940523,0.0013082162477076054,0.000584574940148741,0.01886405423283577,0.0006556264515232516,0.0004709616769105196,0.04190080612897873,0.040213264524936676,0.013195129961804143,0.01616919422305629,0.004811940714716911,0.004594857804477215,0.017531063950267316,0.024206924216756118,0.00988033819992407,0.0030992226664893533,0.015317632280013885,0.006993369454241171,0.006009919568896294,0.006304075475782156,0.0073077953705469045,0.011324484472783489,0.0014251946053328158,0.001477068169550531,0.0008385473629459739,0.0008142244769260287,0.06563330070384438,0.03630546952053452,0.036293186999439585,0.005871089641004801,0.012464765459299088,0.01668131910264492,0.001524051302112639,0.004914982244372368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.300559401512146,0.19760219752788544,1.2372311353683472,0.20040380954742432,2.620029926300049,2.029829978942871,3.3413872718811035
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.010919500550865765,0.17134997248649597,0.0,0.0,0.0,0.0,0.0,0.010995805785691128,0.17142048478126526,0.007848195661771203,0.0002774143940769136,0.009308563922076206,0.0036867924500256777,0.0019064206862822175,0.0008345064125023782,0.027034450322389603,0.0008957036925193573,0.0006820326671004295,0.06392555683851242,0.06116936728358269,0.013083647982738852,0.015989393513607893,0.007268482353538275,0.006949129048734903,0.02059310023198786,0.029040503163759425,0.013941561599668407,0.004477256852815466,0.02181137934555981,0.010162045790139657,0.00893055833876133,0.009356836788356304,0.00848876458495594,0.013484897646043416,0.001900487201710565,0.002037601092459893,0.0015349211171269417,0.0014983683358877897,0.07876737195767097,0.03679077268804029,0.036772474215201106,0.00860176607966423,0.018675414845347404,0.024907616898417473,0.0022287098690867424,0.007129850331693888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4581427276134491,0.32756727933883667,1.836604118347168,0.30334195494651794,3.9102368354797363,3.0509073734283447,5.003687858581543
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.014188506014457378,0.2297520637512207,0.0,0.0,0.0,0.0,0.0,0.014279797844310722,0.22984376549720764,0.010341068514950981,0.00036197149893268943,0.011747265780602837,0.004905956797301769,0.002416321076452732,0.000991808483377099,0.03592022880911827,0.0010656437134249782,0.0008687503868713975,0.08421890437602997,0.08055628091096878,0.013088233083601958,0.015899722263097226,0.009737798944115639,0.009307673200964928,0.02379053717597851,0.033927942031504746,0.018053719423770903,0.005897373936524601,0.028397453036173973,0.013274904214332599,0.01189110055565834,0.01246689260005951,0.009146730797976017,0.015175093150121631,0.0022621307986097957,0.002488497032327461,0.0017734853317961097,0.0017288528615608811,0.09545851720900703,0.03756015085608799,0.037540062981770525,0.011542950756847858,0.02473384328186512,0.032969970256090164,0.002920132828876376,0.00923168659210205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6063284277915955,0.41477400064468384,2.4949898719787598,0.401030957698822,5.204103946685791,4.050487041473389,6.682956695556641
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.01725754777923729,0.2882760167121887,0.0,0.0,0.0,0.0,0.0,0.017372421424448357,0.28839075565338135,0.012724379748103065,0.0004539199289865792,0.014224006056291656,0.006051284726709127,0.0028870359528809786,0.0013344245962798595,0.04647109657526016,0.0012256682050796556,0.001109697506763041,0.10489007830619812,0.10030722618103027,0.013112929469498207,0.015817053842735285,0.011899653822183609,0.011340255849063396,0.02674894259441582,0.03878479379714272,0.021929071811914214,0.0071561959916016295,0.0354227207446331,0.016754643151124803,0.014969438314437866,0.01569848507642746,0.010159936958065758,0.01725304386775814,0.002711094992968731,0.0030436080385435487,0.002661535982042551,0.002607339061796665,0.11081296651595138,0.037966951953856985,0.037941117569174385,0.014623123221099377,0.030850663781166077,0.041160039603710175,0.0036527016200125217,0.011741074733436108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7639150023460388,0.5312460064888,3.082807779312134,0.5028446912765503,6.476899147033691,5.114463806152344,8.348651885986328
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.01735037180439827,0.28899434208869934,0.0,0.0,0.0,0.0,0.0,0.017461802981110115,0.28911513090133667,0.012712105338939876,0.00045451201731339097,0.014140730375548152,0.0060065751895308495,0.0028801588341593742,0.0012785381404682994,0.045017220079898834,0.0011607481565105557,0.0010992088355123997,0.10691997408866882,0.10218286514282227,0.013128847479083036,0.015796270333951132,0.012167718261480331,0.011631815694272518,0.026707191794118727,0.038884693345675354,0.022128784450034522,0.0072464070902023125,0.03537465741200027,0.01673398189731758,0.014911031298607082,0.015621633268892765,0.010200788911025743,0.01732435262099041,0.0027327689851366663,0.0030738223139055777,0.002722350647673011,0.002654897514730692,0.10918672534141892,0.037827732194115664,0.03780150036162746,0.01433284766972065,0.03105989657342434,0.04138164967298508,0.0037617257330566645,0.011784795671701431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7661124467849731,0.5402302145957947,3.08815336227417,0.5047714710235596,6.456912040710449,5.126319408416748,8.336638450622559
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.016978683508748628,0.28930413722991943,0.0,0.0,0.0,0.0,0.0,0.017087390807278405,0.28942158818244934,0.012768906081714649,0.0004397114389576018,0.014206874721152497,0.005882699973881245,0.002638204488903284,0.0011079544201493263,0.04522765800356865,0.0010645350571533323,0.0010698118712753057,0.1051623597741127,0.10044343769550323,0.013030178879752791,0.015599129704032863,0.012110254727303982,0.011569254100322723,0.026466408779669992,0.03850438335727329,0.022365622930644723,0.0072443268173438165,0.03557404074968765,0.016714441877953377,0.01502045499773777,0.015745030716061592,0.009320264181434699,0.016446311614898127,0.0025778059137912513,0.002871872077921729,0.002718557370826602,0.0026581508573144674,0.11347801239891647,0.037236125825158166,0.037213460368162275,0.014581595547497272,0.03070569597184658,0.04099511727690697,0.003550225868821144,0.011310840025544167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7593920230865479,0.5035823583602905,3.1482138633728027,0.5019121170043945,6.484132766723633,5.140121936798096,8.278584480285645
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.017029050585174104,0.2927924394607544,0.0,0.0,0.0,0.0,0.0,0.017138847986853487,0.29290953278541565,0.01264170132532631,0.0004556636558845639,0.014176744005087432,0.005984206683933735,0.002791424049064517,0.001221577520482242,0.045462023466825485,0.0011104777222499251,0.001079013105481863,0.10527439415454865,0.10064563155174255,0.013069349886577984,0.015564859401042568,0.012077933177351952,0.011523795314133167,0.02649560572149521,0.03865610060832153,0.022104568440462838,0.007211698797323494,0.03510531358317497,0.016527916889203378,0.014893599488384628,0.01559444423764944,0.009490024544372817,0.016713381557022247,0.0025857855135258605,0.002883796173906727,0.00225722580216825,0.0022007543593645096,0.11122602817609925,0.03704651991906638,0.03702046958668947,0.014390502125024796,0.030665289610624313,0.040953170508146286,0.0034460267052054405,0.01119072176516056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7711960673332214,0.5578750967979431,3.1030349731445312,0.5033931136131287,6.3797197341918945,5.132648468017578,8.370417594909668
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.01690624466268223,0.2916186451911926,0.0,0.0,0.0,0.0,0.0,0.01701331453901947,0.29173755645751953,0.012539425017439194,0.0004550328594632447,0.014068306965234204,0.005740276537835598,0.002523485803976655,0.0011249774834141135,0.04411976411938667,0.001098943524993956,0.0010788538493216038,0.10586415976285934,0.10108243674039841,0.013161027131454367,0.015638834481519003,0.012114383280277252,0.011580442078411579,0.025802690143741494,0.038028867543585206,0.022241771055153885,0.007202414219000731,0.035375827012330247,0.0166594387722765,0.014912901194910145,0.015586942434310913,0.00876725532645812,0.01592361050753546,0.0025002241666062333,0.0028098135949260377,0.002531989011913538,0.002475704764947295,0.10990749149600967,0.03694295437895825,0.03691782985266365,0.014287140220403671,0.030645938590168953,0.0408792607486248,0.0035727175418287516,0.01135612465441227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7781796455383301,0.5703444480895996,3.1002655029296875,0.5056637525558472,6.37977409362793,5.174670696258545,8.30984878540039
