Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,-0.0,0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.017396301025614166,0.08981700986623764,0.0,0.0,0.0,0.0,0.0,0.017425920744107284,0.08981062471866608,0.003597943630999656,4.4592095946427435e-05,0.0026972372852953055,0.0017864754190668464,0.0009835122618824244,-0.00011444414121797308,0.00017504736024420708,0.000509525140699221,0.0001411073317285627,0.017469419166445732,0.015249794349074364,0.01329728070926082,0.016284519800298866,0.002518447581678629,0.0024995077401399612,0.022049826353245087,0.026864689561748506,0.007950729535305213,0.0017823833006152176,0.0067032819384365274,0.002623056878328738,0.0006830130587331951,0.0008467429433949292,0.0066759655164719415,0.009123117203607912,0.0007957609617072136,0.0004161533661313473,0.0,0.0,0.07317047567093948,0.04296511638649742,0.04297477194853718,0.00023422187950927764,0.008761054836213589,0.011909984983503819,2.6785453883348964e-05,0.00019635858188848943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20655933022499084,0.2348489761352539,0.6132128238677979,0.10223331302404404,1.3311818838119507,1.3839083909988403,1.0915710926055908
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.03249597586262573,0.18055510520935059,0.0,0.0,0.0,0.0,0.0,0.03253890737651047,0.18055157363414764,0.00656957864661005,9.551146649755538e-05,0.003368329158807113,0.0035082094836980104,0.0018119545420631766,-0.00016538430645596236,0.00036299580824561417,0.0007667976123478485,0.0002638698788359761,0.035030730068683624,0.030622432008385658,0.013234711018430191,0.016148712635203007,0.005111339967697859,0.00507773645222187,0.03284924997260857,0.039510663563319934,0.014083191156874734,0.0032116824285112525,0.011480250790438976,0.004816380584335699,0.0013940184144303203,0.0017197888810187578,0.008455137285021869,0.01160009541890232,0.0011247487495048137,0.0005489826139079205,0.0,0.0,0.10890191794641907,0.05085174966524834,0.050874927600427854,0.00046846974873915315,0.017133330926299095,0.023329714313149452,6.142990605439991e-05,0.00041831500129774213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4010887145996094,0.46736621856689453,1.2100199460983276,0.20403775572776794,2.6117873191833496,2.799677848815918,2.221799612045288
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.047042628227412335,0.2720800042152405,0.0,0.0,0.0,0.0,0.0,0.04709747579011856,0.27207642793655396,0.009479326126146222,0.0001517174969194457,0.003999384496836643,0.005272158421576023,0.002609298098832369,-0.00017275824211537838,0.0005591546650975943,0.0010673122751240337,0.00034009607043117285,0.05301526188850403,0.04619529843330383,0.013145838400986917,0.01596239260952464,0.007749085780233145,0.007678256835788488,0.043029263620180516,0.05152303803426476,0.02024950159847393,0.004658174644837694,0.016210535766982767,0.006972621271643858,0.0021015480160713196,0.0025828236248344183,0.010397377022502194,0.014097449923787232,0.0014274417487470043,0.0006629793332910896,0.0,0.0,0.14259396645940475,0.05903267452719227,0.05906625351572689,0.000701418612152338,0.025191035121679306,0.03437906131148338,9.272313764085993e-05,0.0006492591346614063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5896439552307129,0.721642017364502,1.7673088312149048,0.305621474981308,3.8381175994873047,4.288898944854736,3.3596744537353516
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.06147760649006668,0.36363130807876587,0.0,0.0,0.0,0.0,0.0,0.061539115555306396,0.3636265695095062,0.01232037858045887,0.0001992964680539444,0.004636223741133953,0.00707288971170783,0.00352948484942317,-0.00014325478696264327,0.0007489525014534593,0.0013174148971094464,0.00040549301775172353,0.07173538208007812,0.06253165751695633,0.013189497082260354,0.015863395371238164,0.010615379549562931,0.010503223165869713,0.052769121510232775,0.06283732351052963,0.026484651140928267,0.006142086393585415,0.020935471188291702,0.009048204742858905,0.002850410994142294,0.003488006070256233,0.012533787554740668,0.01666015963850683,0.001688304252294692,0.0007069699156364661,0.0,1.9193528714822605e-05,0.1743850469443338,0.06787742082023163,0.0679269276551168,0.0009444039314985275,0.033021531999111176,0.04512496665120125,0.00013908180699218065,0.0009192258003167808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7687050104141235,0.9349233508110046,2.3502745628356934,0.4057657718658447,5.130833625793457,5.749019622802734,4.485531330108643
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.07602015401259567,0.4557589590549469,0.0,0.0,0.0,0.0,0.0,0.07609582829064117,0.45575976371765137,0.01517966363578741,0.0002550515637267381,0.005538363901404338,0.009032187052071095,0.004511292092502117,-0.00012089733354514465,0.0009136648732237518,0.0015401587254749941,0.0004241415881551802,0.0911535993218422,0.079663947224617,0.013256178479350504,0.015753504566643196,0.013380657881498337,0.013202128000557423,0.062389994423277056,0.07415574345291398,0.03260338452267624,0.0075973676861485675,0.025539886935972596,0.01104670958366045,0.0035598021931946278,0.004363866522908211,0.015032915623000393,0.01983924749504648,0.001926646353944682,0.0008050006333825292,0.0,5.5978445743676275e-05,0.20445546208851836,0.07721620727577691,0.0772735774827411,0.0011706497753039002,0.04084106907248497,0.055864591151475906,0.00016863983182702214,0.0012062062742188573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9504738450050354,1.1604493856430054,2.8478713035583496,0.5036531686782837,6.443657875061035,7.252011775970459,5.606195449829102
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.0757820083464801,0.45708081126213074,0.0,0.0,0.0,0.0,0.0,0.07585471326789428,0.45708876848220825,0.014897760165402145,0.000263551773969084,0.005508147297551184,0.009174835868179798,0.004714906681329012,-0.00012305084965191782,0.0008970265043899417,0.0015070859508368015,0.0003596249152906239,0.0932406410574913,0.0813998430967331,0.013270850146499855,0.01572611447379345,0.01353144645690918,0.013361772522330284,0.06162314194341644,0.07342796917880523,0.03233315737758102,0.007590960586890917,0.025164664884038544,0.010905049038314038,0.0034001001103664353,0.004177968017756939,0.015500649056922416,0.02018887827441229,0.001902553466773846,0.0007550836979649035,0.0,5.575850445893593e-05,0.19987694325361605,0.07728080001090959,0.07733767032458497,0.0011309263063594699,0.04037913680076599,0.05528435856103897,0.00015873949450906366,0.001191047253087163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9620459675788879,1.179680347442627,2.8102316856384277,0.5049894452095032,6.40936803817749,7.226552486419678,5.679304599761963
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.07564922664296111,0.4583240747451782,0.0,0.0,0.0,0.0,0.0,0.0757180900991037,0.4583345055580139,0.014801117132105846,0.0002525495656300336,0.00552019786688478,0.009305479004979134,0.004811311140656471,-0.00020372692961245775,0.0008577664266340435,0.0014544093878751279,0.00031484992359764874,0.09541408717632294,0.08323266357183456,0.013172319834020025,0.015533295180621395,0.0138347577303648,0.01366033311933279,0.060925710981537096,0.07249877678047295,0.031953100823281975,0.00754374749074398,0.024833673053998452,0.010786386494688358,0.0033069560272440957,0.004071469884365797,0.016160449909358807,0.020738701924172324,0.0018884716777058364,0.000683280427583817,3.949277015635744e-05,0.00011669054947560653,0.19511483611269592,0.07669801186974984,0.0767565309657364,0.001095788786187768,0.04013151675462723,0.054947663098573685,0.000164705328643322,0.0012225700775161386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.973627507686615,1.163015365600586,2.9178178310394287,0.504422664642334,6.349562644958496,7.099891662597656,5.751997947692871
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.07553662716999009,0.45980411767959595,0.0,0.0,0.0,0.0,0.0,0.07560623613992966,0.4598163962364197,0.014623900353460655,0.0002542866859585047,0.005736897901076493,0.009348055347800255,0.004665957763791084,-0.0002704090147744864,0.0008371613803319633,0.0015246749389916658,0.0002559819840826094,0.09790893644094467,0.08534286171197891,0.013200023495087808,0.015496600164756173,0.01390294823795557,0.013689870946109295,0.06048438699486023,0.0720872021987165,0.03163503635301758,0.007524992451795129,0.024272361247698097,0.01049223693789322,0.003160449844397211,0.003882551798596978,0.01677021176002886,0.021375708094094906,0.0018743520404827167,0.0006437705863812752,8.460872049909085e-05,0.00017321601626463234,0.1908758490999045,0.0754682362272876,0.07552343610613466,0.0010647663148120046,0.04013587161898613,0.05483013018965721,0.00014762859791517258,0.0011795731261372566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.996289849281311,1.213361382484436,2.998568058013916,0.5047018527984619,6.216042995452881,7.014265537261963,5.813657283782959
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.07528238369254273,0.4615305960178375,0.0,0.0,0.0,0.0,0.0,0.07534600364548386,0.4615385830402374,0.014429233120881386,0.0002489933976903558,0.005628618953230305,0.009439737536013126,0.004829886369407177,-0.00023571793281007558,0.0008425648557022214,0.0015343651175498962,0.00026605455786921084,0.10050226002931595,0.0874885767698288,0.013282369062389526,0.015558748481720973,0.014185366220772266,0.013988107442855835,0.05982240436509979,0.07143314331854095,0.031211646107725182,0.007481523678371105,0.02400744242754574,0.010528638189807987,0.003027487760553694,0.0037237696815282106,0.01739329679469099,0.021927406630503656,0.0017718729861645557,0.0005304942310469979,0.0003227373235858977,0.0004154483904130757,0.18713732658903107,0.07361620289162865,0.07367201821331001,0.0010314652463421226,0.03992518037557602,0.0546809658408165,0.00013017695164307952,0.0012096716091036797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0047353506088257,1.203559160232544,3.0631394386291504,0.5012625455856323,6.222776412963867,6.963062763214111,5.803603172302246
00:00:00:09.166,68,0.0,0.0,0.0,0.0,0.0,0.0751129858532904,0.4628002941608429,0.0,0.0,0.0,0.0,0.0,0.07516763793686447,0.46279966831207275,0.01458175072604536,0.00024346954887732863,0.006082771893171401,0.009797520935535431,0.004839222878217697,-0.0003056711284443736,0.0008445192943327129,0.0015451214276254177,0.0002740433847066015,0.10275277495384216,0.08962184935808182,0.013570457662824715,0.015774258562148865,0.014390753582119942,0.014150667004287243,0.05961106639596825,0.07098085951140022,0.030367796890509682,0.0073464490145088955,0.0235325399665514,0.010517792489159966,0.002933153895914745,0.003619672730565071,0.018387627205784646,0.023234930294895897,0.0017843109917209388,0.0005656656717286381,0.0018623432843014598,0.0019421817269176245,0.18359670337867187,0.07106162163636032,0.07111874522487152,0.000983848818577826,0.039856113493442535,0.0545993335545063,0.00012493353278841823,0.001256141229532659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9948126077651978,1.1469476222991943,3.042069435119629,0.5003193020820618,6.447961807250977,6.788653373718262,5.8155837059021
00:00:00:10.183,68,0.0,0.0,0.0,0.0,0.0,0.07491739361305909,0.4642612040042877,0.0,0.0,0.0,0.0,0.0,0.07496924621380631,0.4642592668533325,0.014739601342138862,0.0002449727908242494,0.0062869142395853,0.010049482807517052,0.004850664641708136,-0.00023512069310527295,0.0011054858332499862,0.0016270040068775415,0.00016821533790789545,0.10488836467266083,0.09157749265432358,0.01378299358034351,0.015911343915886226,0.014474494382739067,0.014195145107805729,0.05953768638740448,0.07072339433211372,0.030003051652794075,0.007412555758146019,0.022767980963230856,0.010170418917142428,0.0028949048541539336,0.003607579384337883,0.019799220591557695,0.024647549129738655,0.0017046069824842931,0.0005823818079299466,0.0031037679873406887,0.0031809431966394186,0.17964147329005037,0.06781004666103851,0.06786164715810128,0.0009515348356217146,0.03976130113005638,0.05448867753148079,0.00011806648399215192,0.001285213977098465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9774575233459473,1.161082148551941,2.9901092052459717,0.5020211935043335,6.526834964752197,6.7540974617004395,5.8177056312561035
