Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,0.0,0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.009055336000487232,0.0163554809987545,0.0,0.0,0.0,0.0,0.0,0.009086149674521007,0.01632857322692871,0.00335832178313169,3.815989111899398e-05,0.004723138625243483,0.0018065774347633123,0.0006012103985995054,0.00043468535295687616,0.007041431963443756,0.0003829103523848933,0.0002619105507619679,0.020526256412267685,0.018997544422745705,0.013199144521089482,0.01634013546497691,0.0013231271877884865,0.001325680990703404,0.01674781159257204,0.021256014491641523,0.004077060924255561,0.0011967537540660464,0.006735974620434542,0.0031033965079043484,0.0021736212074756622,0.0022688978351652622,0.010368271512554664,0.013747908181294555,0.0012444850711538435,0.001139557999521948,0.018340036273002625,0.01834638975560665,0.07257237286294083,0.034835480597124,0.034838729205547224,0.0012714707991108298,0.010337628424167633,0.012627151794731617,0.0013446465600281954,0.002243560506030917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22421781718730927,0.16242285072803497,0.33946937322616577,0.12635591626167297,1.7085037231445312,1.5220133066177368,0.8573651313781738
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.01689282469022621,0.04502364993095398,0.0,0.0,0.0,0.0,0.0,0.016923816648704376,0.044995225965976715,0.005892344153414039,7.338532304856926e-05,0.00627048362028779,0.002875506179407239,0.0010849219979718328,0.00013108896382618695,0.0118715176358819,0.000482987229522526,0.0006052731187082827,0.041890569031238556,0.037888672202825546,0.012999297235200304,0.016251231911172833,0.002783210249617696,0.002871496370062232,0.021468644572999955,0.027623052673348678,0.0076314493646131324,0.00214767898330318,0.01192103738310131,0.0056738544010583305,0.004223985597491264,0.004389483481645584,0.013651425978718129,0.01829839927485792,0.001350966275283152,0.0013091637478634048,0.03970365226268768,0.039686061441898346,0.10578745604761536,0.03453800072174532,0.03455619167192033,0.002563986461609602,0.019650619477033615,0.024035369977355003,0.001665766118094325,0.003059469861909747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42834925651550293,0.33290228247642517,0.7234256863594055,0.24978633224964142,3.537337064743042,3.0152807235717773,1.638490080833435
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.024803338049590225,0.08358599990606308,0.0,0.0,0.0,0.0,0.0,0.024841049276923523,0.08355285972356796,0.008348262798952961,0.0001241262798430398,0.007596924346415977,0.003690751502290368,0.001418408122844994,-7.959546928759664e-05,0.015587792731821537,0.0006481298923671896,0.0008158623240888119,0.06347285211086273,0.05728422477841377,0.012831486720414773,0.016111984060715286,0.004386295564472675,0.0045301420614123344,0.025160265159708883,0.03267788778704853,0.011908273940380954,0.0030991485711732675,0.017424613463186953,0.008107208257798176,0.006268230266869068,0.006540387403219938,0.015785308153328667,0.021491663153205033,0.0013841974148092401,0.0014136670633240402,0.06283833831548691,0.06280513852834702,0.13651179674781494,0.03435843714884321,0.034383415253347954,0.004062493797391653,0.028640761971473694,0.035387784242630005,0.0015900811413303018,0.003607934806495905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6595830917358398,0.4751487374305725,1.1919543743133545,0.3760172128677368,5.427254676818848,4.282959938049316,2.498026132583618
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.032975291207245024,0.12918731570243835,0.0,0.0,0.0,0.0,0.0,0.033010339535494766,0.12914910912513733,0.010693540581830254,0.00017521977133583277,0.008792471686636353,0.004290715791285038,0.0017602111911401153,-0.00023666622291784734,0.018103284761309624,0.0007932897187648988,0.0009937284048646688,0.08525891602039337,0.07675105333328247,0.012784395314577418,0.016061031025569116,0.0062363590113818645,0.00646528135985136,0.02807048594697842,0.03688406605410778,0.01687719358509779,0.004133888564458103,0.02301670519636551,0.01036413001317789,0.008310155011713505,0.008689768612384796,0.016774700405686856,0.023430253563804092,0.0012046912275961216,0.0011699082376527368,0.08534669131040573,0.08530139923095703,0.16604470311136413,0.03423164534550727,0.03426496607053202,0.005776829551905394,0.0370466522872448,0.046121690422296524,0.0016263151774182916,0.004011224489659071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8660870790481567,0.5832560658454895,1.70490300655365,0.49207383394241333,7.387999534606934,5.565794944763184,3.30511212348938
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.04101684208050873,0.18103449046611786,0.0,0.0,0.0,0.0,0.0,0.04105745020097481,0.18099217116832733,0.012894736342129154,0.00022323348093777895,0.009944265901548462,0.004695175215601921,0.00205691484734416,-0.00042269768891856074,0.021353967487812042,0.0009517030805731523,0.0011118390830233693,0.10693775862455368,0.0962630957365036,0.012737970953748894,0.016021298700476572,0.007983342744410038,0.008236516267061234,0.031034760560280955,0.041227420079715464,0.02200828638482071,0.0052080386662146285,0.028395390867614174,0.012393752203842487,0.010251129977405071,0.010746248066425323,0.01761257391523434,0.02527553475659214,0.0011688324491609934,0.0010720895050063844,0.10660509765148163,0.10655320435762405,0.19495358764164947,0.034249497803537886,0.034289381010351935,0.007381158880889416,0.04532677307724953,0.0568385012447834,0.0016144912224262953,0.004197073169052601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.086956262588501,0.7089128494262695,2.2207114696502686,0.6083340048789978,9.3418550491333,6.797635555267334,4.123610496520996
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.04103877755658027,0.19873811304569244,0.0,0.0,0.0,0.0,0.0,0.04107445309242775,0.19869445264339447,0.012736365360686034,0.00022767730115447193,0.009515070473899392,0.004328849725425243,0.001984572736546397,-0.00046392265358008444,0.020147621631622314,0.0009436031969043255,0.0010411384282633662,0.10738877952098846,0.09652536362409592,0.012773173445156702,0.01599351939118819,0.008264301344752312,0.00848456472158432,0.03017517070373043,0.04034339222932804,0.023110394718388938,0.005376689011678438,0.02831016031367359,0.01210263859965723,0.010130751826136798,0.010630359873175621,0.016266574330221634,0.023573292403371467,0.001097398791156032,0.000918673860593583,0.10512429475784302,0.10508669167757034,0.1916530817976987,0.03422342726101007,0.03426241330724957,0.007412103470414877,0.0445462130010128,0.05613328143954277,0.001449788105674088,0.0038161331322044134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0775823593139648,0.7173199653625488,2.249903678894043,0.6045240163803101,9.389866828918457,6.7165398597717285,4.143310546875
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.04102768991124115,0.21456049382686615,0.0,0.0,0.0,0.0,0.0,0.04105862246156479,0.21451358497142792,0.012655416975417156,0.0002278671454405412,0.009394628532631111,0.0041977036744356155,0.0020336739253252745,-0.00046751683112233877,0.020278610289096832,0.0009062312324342906,0.0009962060721591115,0.10716741532087326,0.09661876410245895,0.01267109307654159,0.015807364500478913,0.008555220440030098,0.00876967515796423,0.029493570362974397,0.0397277239878046,0.02390558343422291,0.005483258693019733,0.028703536281008225,0.012094416012219753,0.010112283515353565,0.010636258870363235,0.01521834634461958,0.02244907210716335,0.0010416581793499225,0.0008892550023667026,0.10307959467172623,0.10304872691631317,0.1885206997553885,0.03384275577817935,0.03388423103804213,0.0076401676051318645,0.04372841492295265,0.05552308261394501,0.0012847388861700892,0.0036278509069234133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0514808893203735,0.6815774440765381,2.2728607654571533,0.6012580990791321,9.367547988891602,6.734176158905029,4.197491645812988
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.04103824853553726,0.22945351898670197,0.0,0.0,0.0,0.0,0.0,0.04107202766338623,0.22940880060195923,0.012609319239406929,0.00024216793826781213,0.0092051499210332,0.004067522473633289,0.0019447329686954618,-0.0004834837163798511,0.020685570314526558,0.0010437275050207973,0.0009190037962980568,0.10711997747421265,0.09667041897773743,0.012697518220889324,0.015793093342058355,0.008751699700951576,0.00891390535980463,0.029343925430796204,0.039626670978876455,0.02460148337855507,0.005611080788799314,0.028656115232864647,0.011884920883489438,0.009994025044686699,0.010518696159124374,0.01465065662197735,0.02176908198580614,0.0009531827009199505,0.0008039546386011225,0.10086584091186523,0.10085167735815048,0.18607420322492738,0.03368863670370836,0.03372812073966346,0.00774796586483717,0.04325878247618675,0.055249299854040146,0.0011401970405131578,0.0033674747683107853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0763766765594482,0.7179391980171204,2.316469192504883,0.6002728939056396,9.263006210327148,6.704540252685547,4.2281174659729
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.04126086084274452,0.2437756508588791,0.0,0.0,0.0,0.0,0.0,0.04129244702440918,0.24372947216033936,0.012612276794515915,0.0002494534128345549,0.009047077113243266,0.0041148667223751545,0.0020087091252207756,-0.0004343492037151009,0.020978247746825218,0.0011048144660890102,0.0009255430195480585,0.10708156228065491,0.0967428982257843,0.012795675695551373,0.015861508492247954,0.008967475034296513,0.009105635806918144,0.029145016874231225,0.039626443386919404,0.02521019971161274,0.0057378442778376676,0.02907088494089241,0.012042662291005706,0.009972930634538269,0.010501664131879807,0.01408745835135212,0.02111235595403862,0.0008451285241154551,0.000758491237779037,0.0988771915435791,0.09887219220399857,0.18333845435659393,0.03343526476243177,0.03347540297841953,0.007882833480834961,0.04277016967535019,0.054935846477746964,0.0010909397387877107,0.0033948570489883423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0798496007919312,0.727147102355957,2.3527777194976807,0.5970144271850586,9.159265518188477,6.7240495681762695,4.264713764190674
