Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,0.0,0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.008799971541479254,0.07955343276262283,0.0,0.0,0.0,0.0,0.0,0.008830272522435702,0.07955686748027802,0.0038766689198080017,0.0001534034963697195,0.004230335804143725,0.025669217109680176,0.005835698451846838,0.028264394029974937,0.0024272382725030184,0.000864743968889339,0.0,0.002659415127709508,0.002294661942869425,0.013302982484341344,0.016300289758125572,0.004212609492242336,0.003933475352823734,0.033306362822108575,0.03842800927462578,0.002290714900818926,0.0018755906459593439,0.001914173626184317,0.0006899819145840085,0.0005167210474610329,0.000604190572630614,0.032739857924746055,0.034634368500455974,0.004691477441453838,0.004466961624529667,0.002628098940476775,0.0026289494708180428,0.041099584670609035,0.03655158524607311,0.036517004848463784,7.82461793278344e-05,0.003465350018814206,0.00502862548455596,-5.2459399739746004e-05,0.00013685598969459534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45077958703041077,0.4611898362636566,0.2884441316127777,0.09808038175106049,0.6637700200080872,0.49615511298179626,2.5182018280029297
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.016034812103394164,0.16089896857738495,0.0,0.0,0.0,0.0,0.0,0.016062520218474236,0.16090893745422363,0.007468485607693462,0.0003223968087695539,0.007059830725016012,0.05004576966166496,0.011104421690106392,0.057750869542360306,0.00512286089360714,0.0014396781725075317,0.0,0.006370412651449442,0.005767884198576212,0.013140576930726768,0.016250972033975738,0.008755169808864594,0.008178118616342545,0.0567432172434597,0.06465462964207817,0.0030825167061047124,0.0034910882812909986,0.0020366299448799233,0.0010960012662250542,0.001098242704756558,0.0012541618198156357,0.061960214777467576,0.06449148209175674,0.010804866841142083,0.010587712280028992,0.004018081817775965,0.003994219936430454,0.0449005495876878,0.037713653118494096,0.03764743456388949,0.00013330805813893676,0.006977751851081848,0.00997572299093008,-9.10085000214167e-05,0.0002892780757974833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.871721625328064,0.9642647504806519,0.5580126047134399,0.18910256028175354,1.4520518779754639,1.0602190494537354,4.875727653503418
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.023103575630724068,0.23703253269195557,0.0,0.0,0.0,0.0,0.0,0.023146206103896484,0.2370392084121704,0.01176750839220276,0.00046241231029853225,0.009950906415014248,0.07528431713581085,0.013998659327626228,0.08306784182786942,0.003393008606508374,0.002091684510530224,0.0,0.011929364874958992,0.010236360132694244,0.013042571571303938,0.016099179195678544,0.012984449975192547,0.012010220438241959,0.08001025766591492,0.09057400826079101,0.0035737089639867785,0.004704492576102333,0.002277380401461677,0.0019029973375388194,0.0016157904174178839,0.0018484266474843025,0.09072938893824554,0.0933138929260112,0.01593704169565193,0.015718500375377274,0.0005105182062834501,0.000513135630171746,0.05045600015438728,0.03960044926258341,0.039503186276949015,0.00020141083223279566,0.010930338874459267,0.015308719128370285,-0.00015984706988092512,0.00046992237912490964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3420584201812744,1.467797040939331,0.8524746298789978,0.2971073389053345,1.8339430093765259,1.5194482803344727,7.633906364440918
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.027394575372150575,0.3099515736103058,0.0,0.0,0.0,0.0,0.0,0.02744513394655796,0.30999863147735596,0.014645838895209541,0.000666902051307261,0.01223196609530344,0.09800434857606888,0.017919417470693588,0.11199901252985,0.005984406918287277,0.002678118622477231,0.0,0.020807599648833275,0.018889740109443665,0.013180526816052302,0.015912907760761607,0.017317820340394974,0.016040977090597153,0.10355678273483643,0.11699445393073761,0.003922439063027501,0.006363266191830845,0.00243461878971735,0.002460232576842208,0.0019006062066182494,0.0022449702955782413,0.11267412678399658,0.11527041271178193,0.02272327449156517,0.02249212315539818,0.0014949457254260778,0.001438837731257081,0.05187286472351719,0.04240159563713808,0.042273656650559197,0.0002645730855874717,0.015425209887325764,0.021434616297483444,-2.6162771973758936e-05,0.0009541574981994927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.697145700454712,1.906821608543396,1.0834813117980957,0.37387028336524963,2.3704442977905273,1.9427769184112549,10.579153060913086
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.03637213896051552,0.3935456871986389,0.0,0.0,0.0,0.0,0.0,0.03639476883000122,0.39353692531585693,0.018368516787883683,0.0007450937991961837,0.01674820036391695,0.10958641022443771,0.021312128752470016,0.1365760713815689,0.010812767781317234,0.0030670256485613393,0.0,0.0280870720744133,0.025712989270687103,0.013023703702783544,0.01601352744659972,0.021602168679237366,0.02003825455904007,0.1256920531498262,0.14263266626299165,0.004445739850356946,0.007219698687013073,0.0029215876440377773,0.004474158024003591,0.002774373395368457,0.0032043412793427706,0.138246334382406,0.1420885294602426,0.02974135156980484,0.02940604579341301,0.0006344022694975138,0.000618248712271452,0.05777248441212677,0.04591840062537674,0.045764897049706196,0.0003400871064513922,0.018242426216602325,0.025833044201135635,-0.00011109251499874517,0.0015612633433192968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.087290048599243,2.1574089527130127,1.359696626663208,0.467893123626709,3.885380506515503,2.8917055130004883,12.054672241210938
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.03418051439182159,0.38701164722442627,0.0,0.0,0.0,0.0,0.0,0.03423435444316437,0.3870302140712738,0.01818829418487236,0.0007831299444660544,0.016064831638832835,0.10028031468391418,0.017332997173070908,0.1161026880145073,0.002930551767349243,0.002940869860142732,0.0,0.03130563721060753,0.02708246000111103,0.01310828029686438,0.015968689885696538,0.02142092026770115,0.01977108232676983,0.12596118527551636,0.14196088310206878,0.0043789950462830305,0.006234731400832872,0.004412497787677026,0.005075668678813391,0.0024950068390811398,0.00291201239451766,0.1215087037454953,0.1240594871182753,0.026534801446526566,0.025444172162548524,0.0002039553946815431,0.00017917946388479322,0.057129051186779675,0.04727349911247685,0.047119612990161895,0.0002841851091943681,0.018965454772114754,0.026414647698402405,-6.141144694993272e-05,0.0012810785556212068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2708582878112793,2.398007869720459,1.4691218137741089,0.4862796366214752,3.5840444564819336,2.768397331237793,11.86904239654541
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.03041881192457161,0.3827366232872009,0.0,0.0,0.0,0.0,0.0,0.030456805762655983,0.3828274607658386,0.01608725684384348,0.0008965693414211273,0.014435272269351197,0.07156901806592941,0.0232023186981678,0.08778901398181915,0.002962543861940503,0.0032015053452735423,0.0,0.03642693907022476,0.03324788808822632,0.01302169357067164,0.015690367738689134,0.02056572213768959,0.01900302991271019,0.11683120582049011,0.1316102191973793,0.006243217513381214,0.006465275018016681,0.003994388879854184,0.00486033392062005,0.0023924778183744,0.002913957228884101,0.08455919843384582,0.08791741508194534,0.020236250268101882,0.019085099374169807,0.00027785918791778386,0.00020069793390575796,0.055734410897928466,0.04833580475505333,0.04817264952050734,0.00023564368893858045,0.019118936732411385,0.026230940595269203,0.00026530426112003624,0.001573535380885005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2823855876922607,2.5691206455230713,1.4231114387512207,0.4751524329185486,4.008832931518555,2.878600835800171,11.175721168518066
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.033716510828876035,0.38995587825775146,0.0,0.0,0.0,0.0,0.0,0.03372752098242081,0.3899725675582886,0.015612577497511253,0.0008852272294461727,0.013610774619880733,0.047641053795814514,0.024531515315175056,0.058569811284542084,0.0075180064886808395,0.003257119096815586,0.0,0.038301363587379456,0.034516237676143646,0.012915103783384839,0.015807767413339106,0.02038831077516079,0.019064754247665405,0.10947835446836715,0.12424375114581238,0.008375604763622771,0.00620055815277317,0.007598866186002522,0.006006149228227921,0.003002705453507209,0.0035110055468976498,0.05349871214859154,0.058003307132278595,0.010389686495779114,0.008830360662019653,0.0003425147442612797,0.000325048720696941,0.05948143300607819,0.048544425164117166,0.04838802017210841,0.0004473981389310211,0.018607962876558304,0.02592623233795166,6.662886880803853e-05,0.0014341993955895305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.175337076187134,2.409658908843994,1.4946120977401733,0.4865095019340515,4.51816463470459,3.414031505584717,10.27917766571045
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.02962194567648571,0.38862380385398865,0.0,0.0,0.0,0.0,0.0,0.02965100424868286,0.38864126801490784,0.014052378097676106,0.0008627484203316271,0.012798898463549539,0.037018004804849625,0.02150575816631317,0.04915064945816994,0.011696631088852882,0.002838953398168087,0.0,0.03794071823358536,0.03362034633755684,0.01307737797879735,0.01571117245957284,0.01909605972468853,0.01797551102936268,0.10252370832399262,0.11841590106571426,0.008537339346251765,0.005891456623294745,0.010649915804833127,0.007287273345664596,0.0030465938431719305,0.003515364835038781,0.03815867307195892,0.0432667057877655,0.006335492136013374,0.004683119360837974,0.00010561011731624603,8.333757432410493e-05,0.06021082810143932,0.05200073492602577,0.05183328987483002,0.0005649814265780151,0.017797019332647324,0.02484498918056488,5.13876584591344e-05,0.0014371250290423632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.183260679244995,2.386233329772949,1.6185386180877686,0.4797736406326294,3.5418200492858887,2.9820339679718018,11.63266658782959
