Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,-0.0,0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.01489094457970562,0.0943683534860611,0.0,0.0,0.0,0.0,0.0,0.01492639437751583,0.09442644566297531,0.003325615596956344,5.733043508371338e-05,0.0020939574060804813,0.000945091072935611,0.00028449256205931306,-0.00013116693298798054,9.328030500910245e-06,0.0005404457486683858,0.0003034112451132387,0.03737109899520874,0.03500617668032646,0.013217395584100603,0.016324023018730358,0.005041476804763079,0.005282777827233076,0.016877033065461226,0.0210030584328115,0.008811678582215023,0.0018844025873297119,0.008373829233798286,0.004532359193072138,0.0010827629594132304,0.001346771721728146,0.013320789454148788,0.016188690445169563,0.0008142964346255154,0.0006040103680784699,0.04471453279256821,0.044638652354478836,0.04161187727922777,0.0348400594263722,0.03483699527572617,0.00026113586500287056,0.01298128068447113,0.01742849126458168,0.0010391230462118983,0.002881666412577033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16256320476531982,0.12704366445541382,0.5491767525672913,0.12134484946727753,1.9257951974868774,1.0356990098953247,1.0536586046218872
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.028267633538130416,0.18971295654773712,0.0,0.0,0.0,0.0,0.0,0.02832233883200344,0.18983229994773865,0.0060784643133380695,0.00011795604223152623,0.002123554175600815,0.001859878422692418,0.0005516906967386603,-0.0002714383590500802,3.254227340221405e-05,0.0008082581143092585,0.0006460570148192346,0.07472077012062073,0.07003863155841827,0.013068789575317298,0.01622574651448205,0.010083596222102642,0.010573365725576878,0.022593602149394036,0.027870336512038005,0.01599750421990021,0.003466818014996519,0.015087347872279014,0.008721204263812676,0.0022331331856548786,0.002763429656624794,0.021241674228189317,0.02525058725258915,0.0010983238102263006,0.0009074685180518109,0.08909663558006287,0.08894176781177521,0.04746394605644638,0.034526110904785,0.03452383254892318,0.0005465525318868458,0.02590208128094673,0.0348045639693737,0.0021133858244866133,0.005842301994562149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31413882970809937,0.24965767562389374,1.0897009372711182,0.24065811932086945,3.8917834758758545,2.057171583175659,2.1071596145629883
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.04157185315960609,0.2859487235546112,0.0,0.0,0.0,0.0,0.0,0.04164420213613449,0.2861332893371582,0.008664188836681748,0.00017250605742447078,0.002069844848137069,0.002692924812436104,0.0008151435176841915,-0.0004124414990656078,4.791004175785929e-05,0.0010912811421503032,0.000980151235125959,0.11201588809490204,0.10482951998710632,0.012904494668645725,0.016066056953875914,0.015013417229056358,0.01571996696293354,0.02773340233127537,0.034133064408724025,0.023246903700229072,0.005073875598291473,0.021640299113893244,0.012754118612293225,0.0034076604060828686,0.004212110303342342,0.0289111748048637,0.03389082066241276,0.0013929971325708163,0.0011889285068980217,0.1338566541671753,0.13362199068069458,0.053150599484812544,0.0343405111392385,0.03433892152471049,0.000834319565910846,0.03866063058376312,0.05192942172288895,0.0033256527967751026,0.008939298801124096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46918973326683044,0.3820725083351135,1.6288347244262695,0.35913097858428955,5.740715980529785,3.1204562187194824,3.222961187362671
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.05493185420315567,0.3827495276927948,0.0,0.0,0.0,0.0,0.0,0.055020371623059235,0.38299989700317383,0.011236427137025108,0.0002318735496373847,0.001997142353819007,0.0036605552304536104,0.0010729993227869272,-0.000593481061514467,6.87774081598036e-05,0.001297706714446721,0.001300461357459426,0.149149551987648,0.13951705396175385,0.012863084883486304,0.015993571682596974,0.020039312541484833,0.020996127277612686,0.03240666611238846,0.03994168188560211,0.0306004505828619,0.006699228237768621,0.028303104471429977,0.016831007659922143,0.004583274945616722,0.0056641921401023865,0.03643787876763916,0.042497097699326934,0.001625216752128544,0.0014300243626440643,0.18011024594306946,0.1797885000705719,0.058435051128579864,0.034210290206182825,0.03420711189746732,0.001116708037443459,0.050974052399396896,0.06869444251060486,0.004496022593230009,0.012111826799809933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6217827796936035,0.5219140648841858,2.143869638442993,0.4770003855228424,7.542366981506348,4.245962142944336,4.340546131134033
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.0681424316300502,0.4797073006629944,0.0,0.0,0.0,0.0,0.0,0.06824832546299682,0.4800291061401367,0.013583345077928943,0.0002842730318661779,0.002069332379004592,0.004494199994951487,0.0013543012319132686,-0.0007412523264065385,7.07067156326957e-05,0.0015258207816081452,0.0014296704903244972,0.1860692799091339,0.1737728863954544,0.012829067420097866,0.015935684675465845,0.02487846650183201,0.02604355849325657,0.03676447683144299,0.04545598778427384,0.03817029815721489,0.008358793740089817,0.034750212713503266,0.020606708803733675,0.0057843453250825405,0.007162739057093859,0.044349759110322726,0.05152254252891861,0.0018396012208308208,0.0016095969447370733,0.2283799946308136,0.22796717286109924,0.06318573168449901,0.03422646731676512,0.0342244569493446,0.001370311714708805,0.06341198086738586,0.08540583401918411,0.00550818582996726,0.014947334304451942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7978203296661377,0.6512757539749146,2.6859641075134277,0.5949208736419678,9.387972831726074,5.319087982177734,5.417510509490967
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.06797575193302033,0.4808480143547058,0.0,0.0,0.0,0.0,0.0,0.06807836348495055,0.4811718761920929,0.013244646762975902,0.0002909738104790449,0.0020237131404069056,0.004587262403219938,0.0013801220338791609,-0.0007057791808620095,4.706364052253775e-05,0.0014461852542835116,0.0014521399280056357,0.18574140965938568,0.17321759462356567,0.012848274104316645,0.01589788970129334,0.024751512333750725,0.02594282105565071,0.036157325684032286,0.04522184055174339,0.03806644247684898,0.008420529185310345,0.03452507888240394,0.020482998569690398,0.005733482953428717,0.00711468793451786,0.044763815767656784,0.05216652898386254,0.00180155042761124,0.0015707424171128082,0.23165929317474365,0.23123136162757874,0.061878287815192876,0.034204409945074725,0.034200310484255224,0.0013518217019736767,0.06277360767126083,0.08473904430866241,0.0056643616408109665,0.015210841782391071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8224744200706482,0.6674437522888184,2.680741548538208,0.5946885943412781,9.274682998657227,5.358133316040039,5.446029186248779
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.06775740031134567,0.4810522794723511,0.0,0.0,0.0,0.0,0.0,0.06785407678485657,0.481367826461792,0.012933241675295849,0.00030390851316042244,0.001962542052082506,0.004818873014301062,0.001458771526813507,-0.0006788510363548994,3.0100160074653104e-05,0.0013344488702525974,0.001504071638919413,0.18516072630882263,0.17251424491405487,0.012738962503398805,0.015681508991083434,0.024697404354810715,0.02593245543539524,0.035907425021578065,0.04527321534048195,0.037622350044964524,0.008467655806342945,0.03441161606611679,0.020537457716814842,0.005623240719159012,0.006997731979936361,0.04535988342234451,0.053306536405769274,0.001760467385214013,0.0016075864906817186,0.2339860498905182,0.2335492968559265,0.06009870024128555,0.03377495907451849,0.033770609836734154,0.0013442918425425887,0.06217167526483536,0.08415553718805313,0.005699046887457371,0.015165507793426514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8415465354919434,0.6774608492851257,2.6645102500915527,0.5964144468307495,9.16530990600586,5.353036880493164,5.541182994842529
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.06725515037431672,0.4800736606121063,0.0,0.0,0.0,0.0,0.0,0.06735242335001267,0.4803806245326996,0.01248641166791235,0.00031082064379006624,0.0019848410716779953,0.0048169828951358795,0.0014704957138746977,-0.0006050491938367486,-1.1626369996520225e-05,0.0013408927479758859,0.0014228004729375243,0.1839233934879303,0.17112335562705994,0.012750830108202936,0.01563174415800394,0.024539444595575333,0.025734391063451767,0.03611225822510487,0.04571236667773376,0.0372664459384935,0.008576889169194489,0.034102178587476044,0.02031989174665291,0.005592508875377083,0.006932465359568596,0.0454382903539386,0.053795632718359146,0.0016318876797017027,0.00162723707157637,0.23433321714401245,0.23389875888824463,0.05883674544289726,0.03356518475234105,0.03356364410891987,0.0013594541233032942,0.061672430485486984,0.08350635319948196,0.005404174327850342,0.014491192996501923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8387629389762878,0.6559794545173645,2.6601667404174805,0.5968518853187561,9.113131523132324,5.299047946929932,5.671077251434326
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.067025516164581,0.47826552391052246,0.0,0.0,0.0,0.0,0.0,0.06712290959936798,0.47855544090270996,0.012185286814473935,0.0003226646804250777,0.0019869514684588445,0.005018134135752916,0.0015487638302147388,-0.0005197781720198691,-7.666039891773835e-05,0.001275773043744266,0.0014945328002795577,0.18284715712070465,0.17006990313529968,0.01286805719474568,0.015684659422999535,0.024639248847961426,0.02581126242876053,0.036910434792794114,0.046836750210173035,0.03696849925606636,0.008686752878793868,0.03388040980485077,0.02019327150113926,0.005515807522604799,0.006821040995419025,0.04491238968978157,0.053394775456773756,0.0013733790321840502,0.001688066985938587,0.23261289298534393,0.23219034075737,0.05782060547749504,0.033257616392859644,0.033254377044849764,0.0013730719219893217,0.06116698682308197,0.08313539624214172,0.005129167810082436,0.014225856401026249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7834798693656921,0.6188005208969116,2.5431950092315674,0.5909538269042969,9.358667373657227,5.178554058074951,5.757688999176025
00:00:00:09.166,68,0.0,0.0,0.0,0.0,0.0,0.06686458218488678,0.4776240587234497,0.0,0.0,0.0,0.0,0.0,0.06695297049740372,0.4778921902179718,0.012307568100930442,0.0003325213911011815,0.0020902952179776444,0.005366888828575611,0.001683508511632681,-0.00044097844511270523,-9.356070222565904e-05,0.0012528448132798076,0.0014880826929584146,0.1824425756931305,0.16979780793190002,0.0131611347155901,0.01591722091382308,0.024805869907140732,0.025967877358198166,0.038322181592315485,0.04831042286088562,0.03679695317901428,0.00872555241432207,0.0336925893901268,0.020137408461202048,0.005424323505044174,0.006674818228930235,0.04478962568097862,0.053474544021631015,0.0012403062673599363,0.0017228822975988436,0.2282577008008957,0.22784234583377838,0.058432911677474254,0.03298953325229082,0.03298567573036518,0.0013853504788130522,0.06083083152770996,0.08283326029777527,0.0046138036996126175,0.013630070723593235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7523661851882935,0.5899239778518677,2.4918863773345947,0.5892995595932007,9.632912635803223,5.022469997406006,5.754530429840088
